as_of_date,team_code,scorer,goals_weighted,share
2026-06-01,ALG,Mohamed Amoura,5.9543430199,0.2006017740
2026-06-01,ALG,Riyad Mahrez,4.7490829422,0.1599965705
2026-06-01,ALG,Baghdad Bounedjah,3.8309626243,0.1290651036
2026-06-01,ALG,Islam Slimani,2.3588720620,0.0794703830
2026-06-01,ALG,Ibrahim Maza,1.7231349474,0.0580524041
2026-06-01,ALG,Mohamed El Amine Amoura,1.3157316552,0.0443269901
2026-06-01,ALG,Farès Chaïbi,1.2766023992,0.0430087257
2026-06-01,ALG,Adil Boulbina,0.8694415454,0.0292914795
2026-06-01,ALG,Zineddine Belaïd,0.8644570458,0.0291235517
2026-06-01,ALG,Aïssa Mandi,0.8578336531,0.0289004097
2026-06-01,ALG,Sofiane Feghouli,0.7421503433,0.0250030398
2026-06-01,ALG,Jaouen Hadjam,0.6603922603,0.0222486105
2026-06-01,ALG,Amine Gouiri,0.6578658276,0.0221634951
2026-06-01,ALG,Ramiz Zerrouki,0.6021620384,0.0202868348
2026-06-01,ALG,Houssem Aouar,0.5011265344,0.0168829494
2026-06-01,ALG,Said Benrahma,0.5011265344,0.0168829494
2026-06-01,ALG,Youcef Belaïli,0.3811448601,0.0128407676
2026-06-01,ALG,Adam Ounas,0.2668790634,0.0089911537
2026-06-01,ALG,Ahmed Touba,0.2319281027,0.0078136561
2026-06-01,ALG,Sofiane Bendebka,0.2172973240,0.0073207453
2026-06-01,ALG,Saïd Benrahma,0.2033945067,0.0068523595
2026-06-01,ALG,Ismaël Bennacer,0.1974413928,0.0066517991
2026-06-01,ALG,Ramy Bensebaini,0.1900166850,0.0064016608
2026-06-01,ALG,Hillal Soudani,0.0891455606,0.0030033133
2026-06-01,ALG,Yacine Brahimi,0.0871725285,0.0029368419
2026-06-01,ALG,Faouzi Ghoulam,0.0687581151,0.0023164604
2026-06-01,ALG,Nabil Bentaleb,0.0542261794,0.0018268796
2026-06-01,ALG,Sofiane Hanni,0.0377334846,0.0012712408
2026-06-01,ALG,Carl Medjani,0.0370210219,0.0012472380
2026-06-01,ALG,Abdelmoumene Djabou,0.0307185283,0.0010349070
2026-06-01,ALG,Saphir Sliti Taïder,0.0206352166,0.0006952003
2026-06-01,ALG,Rafik Halliche,0.0185402103,0.0006246196
2026-06-01,ALG,Madjid Bougherra,0.0183770428,0.0006191224
2026-06-01,ALG,Nabil Ghilas,0.0106510750,0.0003588346
2026-06-01,ALG,Rafik Saïfi,0.0077496673,0.0002610862
2026-06-01,ALG,Antar Yahia,0.0076066819,0.0002562691
2026-06-01,ALG,Karim Ziani,0.0066499284,0.0002240360
2026-06-01,ALG,Karim Matmour,0.0058925063,0.0001985185
2026-06-01,ALG,Abdelkader Ghezzal,0.0055794057,0.0001879701
2026-06-01,ALG,Rafik Djebbour,0.0044675022,0.0001505101
2026-06-01,ALG,Hameur Bouazza,0.0032710125,0.0001102004
2026-06-01,ALG,Nadir Belhadj,0.0029579118,0.0000996520
2026-06-01,ALG,Mansour Boutabout,0.0026886468,0.0000905805
2026-06-01,ALG,Abdelmalek Cherrad,0.0016155922,0.0000544293
2026-06-01,ALG,Nassim Akrour,0.0013211958,0.0000445111
2026-06-01,ALG,Hocine Achiou,0.0008065070,0.0000271712
2026-06-01,ALG,Hamza Yacef,0.0007040037,0.0000237179
2026-06-01,ALG,Sofiane Daoud,0.0006539289,0.0000220309
2026-06-01,ALG,Fares Aouni,0.0006518625,0.0000219612
2026-06-01,ALG,Isâad Bourahli,0.0006205619,0.0000209067
2026-06-01,ALG,Abdelhafid Tasfaout,0.0005733467,0.0000193160
2026-06-01,ALG,Mamar Mamouni,0.0004022875,0.0000135531
2026-06-01,ALG,Brahim Zafour,0.0004007485,0.0000135012
2026-06-01,ALG,Ali Meçabih,0.0003107974,0.0000104708
2026-06-01,ALG,Nasreddine Kraouche,0.0001991012,0.0000067077
2026-06-01,ALG,Billel Dziri,0.0001736448,0.0000058501
2026-06-01,ALG,Yacine Bezzaz,0.0001662782,0.0000056019
2026-06-01,ALG,Djamel Belmadi,0.0001404724,0.0000047325
2026-06-01,ALG,Fawzi Moussouni,0.0000995838,0.0000033550
2026-06-01,ALG,Farid Ghazi,0.0000992029,0.0000033421
2026-06-01,ALG,Moussa Saïb,0.0000530124,0.0000017860
2026-06-01,ALG,Sid Ahmed Zerrouki,0.0000275761,0.0000009290
2026-06-01,ALG,Tarek Lazizi,0.0000244163,0.0000008226
2026-06-01,ALG,Khaled Lounici,0.0000243462,0.0000008202
2026-06-01,ALG,Djamel Menad,0.0000219022,0.0000007379
2026-06-01,ALG,Rabah Madjer,0.0000169731,0.0000005718
2026-06-01,ALG,Mourad Meziane,0.0000164946,0.0000005557
2026-06-01,ALG,Djamel Amani,0.0000093189,0.0000003140
2026-06-01,ALG,Mohamed Brahimi,0.0000087997,0.0000002965
2026-06-01,ALG,Chérif Oudjani,0.0000062315,0.0000002099
2026-06-01,ALG,Nacer Bouiche,0.0000059636,0.0000002009
2026-06-01,ALG,Lakhdar Belloumi,0.0000049969,0.0000001683
2026-06-01,ALG,Tahar Chérif El-Ouazzani,0.0000030993,0.0000001044
