code,as_of_date,matches_count,gf_ma15,ga_ma15,corners_for_ma15,corners_against_ma15,cards_ma15,shots_ma15,shots_on_target_ma15,possession_ma15,elo
ALG,2026-06-29,15,2.2,0.8,4.0,2.0,0.3333333333333333,12.0,4.333333333333333,63.0,1898.7979506775705
ARG,2026-06-29,15,2.533333333333333,0.3333333333333333,3.0,2.3333333333333335,0.6666666666666666,11.333333333333334,5.0,58.333333333333336,2223.229280868972
AUS,2026-06-29,15,1.2,0.8666666666666667,4.0,5.333333333333333,1.6666666666666667,8.666666666666666,3.6666666666666665,40.666666666666664,1926.5869422311732
AUT,2026-06-29,15,2.3333333333333335,0.8666666666666667,3.3333333333333335,1.3333333333333333,1.3333333333333333,9.0,2.6666666666666665,48.0,1907.2568513074314
BEL,2026-06-29,15,3.2,0.8,4.666666666666667,4.666666666666667,1.3333333333333333,24.333333333333332,6.666666666666667,59.333333333333336,1973.4797416619763
BIH,2026-06-29,15,1.8,1.2,4.0,7.0,2.3333333333333335,9.0,3.6666666666666665,43.666666666666664,1696.5677906252497
BRA,2026-06-29,15,2.2,0.8,5.333333333333333,4.333333333333333,1.6666666666666667,13.666666666666666,6.333333333333333,54.0,2098.24082391866
CAN,2026-06-29,15,1.4666666666666666,0.5333333333333333,11.666666666666666,2.3333333333333335,1.6666666666666667,19.333333333333332,7.0,61.666666666666664,1862.502073461972
CIV,2026-06-29,15,2.2,0.6666666666666666,4.0,5.666666666666667,1.3333333333333333,10.333333333333334,3.0,50.333333333333336,1868.2580438412335
COD,2026-06-29,15,1.1333333333333333,0.5333333333333333,3.3333333333333335,4.666666666666667,1.6666666666666667,11.333333333333334,2.3333333333333335,39.666666666666664,1833.467740484828
COL,2026-06-29,15,2.0,0.8,4.666666666666667,3.0,1.3333333333333333,19.666666666666668,6.333333333333333,60.0,2089.6658483895662
CPV,2026-06-29,15,1.4666666666666666,1.0,3.0,8.0,1.3333333333333333,11.0,2.3333333333333335,37.333333333333336,1701.7176582250627
CRO,2026-06-29,15,2.4,1.0666666666666667,2.3333333333333335,5.666666666666667,0.6666666666666666,8.0,3.6666666666666665,53.0,1978.0199890857732
CUW,2026-06-29,15,1.4666666666666666,1.7333333333333334,1.6666666666666667,7.666666666666667,2.3333333333333335,9.666666666666666,2.3333333333333335,32.333333333333336,1618.263390709604
CZE,2026-06-29,15,1.8,1.3333333333333333,5.0,3.3333333333333335,0.3333333333333333,11.333333333333334,2.6666666666666665,42.666666666666664,1756.9628577751635
ECU,2026-06-29,15,0.9333333333333333,0.4666666666666667,5.666666666666667,1.6666666666666667,1.6666666666666667,15.333333333333334,6.333333333333333,55.333333333333336,2011.981372192935
EGY,2026-06-29,15,1.3333333333333333,0.8666666666666667,6.0,2.6666666666666665,2.0,16.0,4.333333333333333,54.333333333333336,1866.3035075333808
ENG,2026-06-29,15,2.1333333333333333,0.4666666666666667,8.0,2.3333333333333335,0.6666666666666666,19.333333333333332,6.666666666666667,66.0,2125.3016668843266
ESP,2026-06-29,15,2.6666666666666665,0.6666666666666666,7.666666666666667,1.0,0.6666666666666666,18.333333333333332,5.333333333333333,69.33333333333333,2219.0631237145394
FRA,2026-06-29,15,2.7333333333333334,1.0666666666666667,5.0,3.3333333333333335,0.3333333333333333,16.0,7.333333333333333,55.333333333333336,2198.406404269999
GER,2026-06-29,15,2.6,1.0666666666666667,6.0,2.3333333333333335,0.3333333333333333,17.666666666666668,7.333333333333333,62.0,2006.3575969131314
GHA,2026-06-29,15,1.2,1.2,2.0,4.666666666666667,1.0,5.0,1.3333333333333333,35.333333333333336,1693.8074971415617
HAI,2026-06-29,15,1.2666666666666666,1.4,3.0,5.333333333333333,2.3333333333333335,10.333333333333334,2.3333333333333335,42.666666666666664,1676.841667646255
IRN,2026-06-29,15,1.6,0.7333333333333333,2.6666666666666665,4.333333333333333,2.0,12.333333333333334,3.6666666666666665,39.0,1892.3443103956424
IRQ,2026-06-29,15,0.8666666666666667,1.4666666666666666,2.3333333333333335,7.0,1.6666666666666667,7.0,0.6666666666666666,38.0,1690.3972513669235
JOR,2026-06-29,15,1.6,1.9333333333333333,2.0,6.666666666666667,1.3333333333333333,8.0,3.0,30.666666666666668,1728.1608102737714
JPN,2026-06-29,15,1.7333333333333334,0.6666666666666666,3.6666666666666665,5.333333333333333,0.3333333333333333,9.666666666666666,3.6666666666666665,51.333333333333336,2004.8361019337183
KOR,2026-06-29,15,1.5333333333333334,1.0,4.0,3.0,1.3333333333333333,10.666666666666666,3.6666666666666665,62.666666666666664,1853.628215024582
