team_code,scorer
GER,Manuel Neuer
GER,Joshua Kimmich
GER,Jonathan Tah
GER,Antonio Rüdiger
GER,David Raum
GER,Felix Nmecha
GER,Aleksandar Pavlovic
GER,Leroy Sané
GER,Jamal Musiala
GER,Florian Wirtz
GER,Kai Havertz
PAR,Orlando Gill
PAR,Juan Cáceres
PAR,Fabián Balbuena
PAR,Gustavo Velázquez
PAR,Júnior Alonso
PAR,Miguel Almirón
PAR,Matías Galarza
PAR,Andrés Cubas
PAR,Mauricio
PAR,Gabriel Ávalos
PAR,Julio Enciso
FRA,Mike Maignan
FRA,Jules Koundé
FRA,Dayot Upamecano
FRA,Maxence Lacroix
FRA,Theo Hernández
FRA,Aurélien Tchouaméni
FRA,Kouadio Koné
FRA,Ousmane Dembélé
FRA,Michael Olise
FRA,Désiré Doué
FRA,Kylian Mbappé
FRA,Brice Samba
FRA,Robin Risser
FRA,Ibrahima Konaté
FRA,Lucas Digne
FRA,Lucas Hernández
FRA,Malo Gusto
FRA,William Saliba
FRA,Adrien Rabiot
FRA,N'Golo Kanté
FRA,Rayan Cherki
FRA,Warren Zaïre-Emery
FRA,Bradley Barcola
FRA,Jean-Philippe Mateta
FRA,Maghnes Akliouche
FRA,Marcus Thuram
SWE,Jacob Widell Zetterström
SWE,Gustaf Lagerbielke
SWE,Isak Hien
SWE,Gabriel Gudmundsson
SWE,Alexander Bernhardsson
SWE,Victor Nilsson Lindelöf
SWE,Yasin Ayari
SWE,Elliot Stroud
SWE,Anthony Elanga
SWE,Viktor Gyökeres
SWE,Alexander Isak
SWE,Kristoffer Nordfeldt
SWE,Viktor Johansson
SWE,Carl Starfelt
SWE,Eric Smith
SWE,Hjalmar Ekdal
SWE,Benjamin Nygren
SWE,Besfort Zeneli
SWE,Daniel Svensson
SWE,Herman Johansson
SWE,Jesper Karlström
SWE,Ken Sema
SWE,Lucas Bergvall
SWE,Mattias Svanberg
SWE,Taha Abdi Ali
SWE,Gustaf Nilsson
RSA,Ronwen Williams
RSA,Khuliso Mudau
RSA,Ime Okon
RSA,Mbekezeli Mbokazi
RSA,Aubrey Maphosa Modiba
RSA,Teboho Mokoena
RSA,Sphephelo Sithole
RSA,Thapelo Maseko
RSA,Relebohile Mofokeng
RSA,Oswin Appollis
RSA,Evidence Makgopa
RSA,Thalente Mbatha
RSA,Iqraam Rayners
RSA,Tshepang Moremi
RSA,Ricardo Goss
RSA,Sipho Chaine
RSA,Bradley Cross
RSA,Kamogelo Sebelebele
RSA,Khulumani Ndamane
RSA,Nkosinathi Sibisi
RSA,Olwethu Makhanya
RSA,Samukelo Kabini
RSA,Thabang Matuludi
RSA,Jayden Adams
RSA,Lyle Foster
CAN,Maxime Crépeau
CAN,Alistair Johnston
CAN,Moïse Bombito
